title,subtitle,link
LEW BETTER," I'm an ex-England star - I wish I wasn't, I could have played with Lewandowski",https://www.thesun.co.uk/sport/23905373/andy-johnson-england-poland-robert-lewandowski/
ROW OF SILENCE, Man Utd's singing section REFUSE to take part in two matches over dispute,https://www.thesun.co.uk/sport/23894479/man-utd-fans-singing-section/
ANTONY SPEAKS, Antony statement on Man Utd absence in full as he confirms he won't return,https://www.thesun.co.uk/sport/23890517/antony-statement-full-man-utd/
RED DEVILS LIVE," Jim Ratcliffe makes takeover admission, Hojlund shirt blunder, Sancho row",https://www.thesun.co.uk/sport/23823324/man-utd-news-live-jadon-sancho-jim-ratcliffe-takeover-updates/
GUNNERS NEWS," Champions League squad ANNOUNCED, Gunners track Brugge star, Ferguson latest",https://www.thesun.co.uk/sport/23686623/arsenal-transfer-news-live-evan-ferguson-antonio-nusa/
, Gerrard's Al-Ettifaq launch bizarre attack on Saudi rivals over Salah chase,https://www.thesun.co.uk/sport/23851320/al-ettifaq-bizarre-attack-saudi-rivals-mo-salah-transfer/
FREE LIONS, England's best XI determined by Dream Team points - featuring Jarrod Bowen,https://www.thesun.co.uk/sport/football/dream-team/23873248/england-best-team-southgate-fantasy-football-bowen-mitchell/
SUCCESS STORY," How Dream Team gaffer who admits he's ""generally pants"" won latest cash prize",https://www.thesun.co.uk/sport/football/dream-team/23824264/fantasy-football-cash-prizes-weekly-winners-premier-league/
SPURRED ON, Four Spurs players feature in highest-scoring Dream Team XI of the season so far,https://www.thesun.co.uk/sport/football/dream-team/23831641/tottenham-players-highest-scoring-team-points-fantasy-football/
SPA-RTY ANIMAL," Inside Jack Grealish's quiet '£20,000' birthday at £5,000-a-night log cabin",https://www.thesun.co.uk/sport/23887546/inside-jack-grealish-quiet-birthday/
, Fans baffled at 'weird' reason why Son can't take selfies with fans' iPhones,https://www.thesun.co.uk/sport/23896410/tottenham-fans-son-heung-min-selfies-iphone-samsung/
RICE TO MEET YOU, Rice reveals hilarious item Arteta made him wear after arriving at Arsenal,https://www.thesun.co.uk/sport/23890349/declan-rice-reveals-sticker-mikel-arteta-arsenal/
RED ALERT, Erik ten Hag broke key Sir Alex Ferguson rule after Man Utd's defeat to Arsenal,https://www.thesun.co.uk/sport/23891786/erik-ten-hag-fergie-golden-rule-sancho-man-utd/
, Arsenal fans beg Wilshere to end retirement after kickabout video of ace,https://www.thesun.co.uk/sport/23895931/arsenal-fans-jack-wilshere-retirement-footage-viral/
KELL OF A LOOK, Lionesses hero Chloe Kelly shows off abs & toned legs on 'date night',https://www.thesun.co.uk/sport/23890367/england-lionesses-chloe-kelly-date-night/
GO SOUTH, England in fight to lure Elliot Anderson from Scotland as Southgate gives verdict,https://www.thesun.co.uk/sport/23901281/england-elliot-anderson-scotland-gareth-southgate/
, Watch Ronaldinho proves he's still got it as he embarrasses pitch invader,https://www.thesun.co.uk/sport/23884058/ronaldinho-pitch-invader-barcelona-legends-match/
KOKE DEALER, Ex-LaLiga ace could be killed 'very quickly' following drug crimes sentence,https://www.thesun.co.uk/sport/23901376/koke-sergio-contreras-marseille-drug-trafficking/
REAL DEAL, Inside Camavinga's body transformation from thin teen to ripped Real Madrid star,https://www.thesun.co.uk/sport/23901540/eduardo-camavinga-body-transformation-real-madrid/
MARK IRWIN, Ten Hag having a worse week than Rishi Sunak - Man Utd are a crumbling s***show,https://www.thesun.co.uk/sport/23855955/erik-ten-hag-rishi-sunak-man-utd/
CHARLIE WYETT, Meet the American wonderkids who could end up playing for ENGLAND,https://www.thesun.co.uk/sport/23817341/american-wonderkids-england-fa-top-world-talent/
TROY DEENEY, Bellingham looks a future Real Madrid captain but hasn't forgotten his roots,https://www.thesun.co.uk/sport/23759423/jude-bellingham-real-madrid-troy-deeney-column-birmingham/
'So gorgeous', Wag and 'world's most beautiful woman' joins no bra club in racy outfit,https://www.thesun.co.uk/sport/23863992/premier-league-wag-most-beautiful-woman-no-bra-topless/
CLAU BLIMEY, World’s sexiest ref Claudia Romani risks Instagram ban with daring bum snaps,https://www.thesun.co.uk/sport/23889134/worlds-sexiest-ref-claudia-romani-bum/
HOLLIE MOLY, Alan Shearer's daughter Hollie shows off incredible tanned abs in bikini photos,https://www.thesun.co.uk/sport/23879160/alan-shearers-daughter-hollie-bikini/
